bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-001_T1w	0.6627768973506107	2.051019432461051	0.5672029292857578	1591.2026023951248	3.5318374473715206	3.533049947353453	3.444587448671647	3.617874946089462	0.16929123780125158	0.45528024789521077	0.3754285143035377	1.5434266328811646	0.5152130126953125	0.0	0.019852171364439283	34.72945910693821	14.641061729207685	19.576435259030838	224	320	320	3.1544310276758614	10.901180681577738	10.249920960572581	16.694151172464142	27.927766400971407	57.78586280439719	52.54141201459645	71.91060683842076	0.800000011920929	0.800000011920929	0.800000011920929	163.3915078907229	9.11042758392055	11.885945187769007	6.144890025258064	5838540.0	0.0	36.65372997522354	12.225059543188825	6.1673475663975434	107.40714625253702	413.1674094128439	388.3678301051259	39525.0	257.27684289962053	642.2919347628948	123.1166298225146	0.11555646859949453	73.0432527342402	804.6735267925078	803.5791271626949	67929.0	686.0715810656548	928.4174192547798	73.71432836197857	0.35341029842722405	57.13996247809819	999.7456080716721	999.9999977946281	416197.0	900.118583612144	1097.4018949493766	59.90114658175446	0.15746575593948364	0.44881483912467957	0.4978224039077759	0.499004787777718
sub-002_T1w	0.6390399502572701	2.1263218230327148	0.5408452207190289	2022.4536311854754	3.6398791124282415	3.592412446468883	3.599287446366438	3.727937444449403	0.18058863188175653	0.45527289691599626	0.36413847120224724	1.5340250730514526	0.5313067436218262	0.0	0.027376370977222758	33.68828227986189	14.619006186040096	19.854130972736005	224	320	320	3.1810968915978064	11.388840019280236	10.490516589924914	16.901612858896698	30.66245594489601	68.88741989596525	61.77941988348524	85.78838380959446	0.800000011920929	0.800000011920929	0.800000011920929	6.708060003637399	7.636655818371134	10.81890399400664	10.3507478274405	5991808.0	0.0	31.248466189950705	10.611138963967637	9.038976632349511	83.63956372501717	383.4007521162367	357.4196619465947	63716.0	250.87073170393705	604.0716054365039	112.35648247378998	0.1187216533042319	69.74812314112302	805.0040406050158	802.9923752956092	75400.0	691.7341000698507	923.2768950723112	70.5064825772815	0.3908304082142413	56.147602778881094	999.9189285726435	999.9999737553298	381441.0	901.8395642638206	1096.7377686165273	59.165871996021565	0.15986432135105133	0.44015493988990784	0.4850998520851135	0.47000151629382675
sub-003_T1w	0.6368717863223469	2.1300060507347887	0.5407225703069907	2031.5352327120381	3.636598988381904	3.5894720742270545	3.5954874464230615	3.7248374444955967	0.18043128162131902	0.4553832263604386	0.3641854920182424	1.5472395420074463	0.5325085461139678	0.0	0.018066468228045952	33.69723852189603	14.614959848090924	19.847153035911287	224	320	320	3.222039095799991	11.339561946019291	10.486629043287428	16.898286088043	30.683497981641068	68.83691900777713	61.775211476136235	85.8052174389905	0.799997866153717	0.800000011920929	0.800000011920929	6.760750690860643	7.635532497865325	10.798671339257533	10.349225275218487	5997870.0	0.0	31.145772747695446	10.606105712340657	8.813320092532546	82.53647033406804	382.94890281108945	357.6123292967677	62886.0	250.9809750393033	601.0766276847571	110.98856199896494	0.11877039104341325	69.95602155187089	804.4686181808968	802.2856769040227	75529.0	691.1909126937389	923.484424084425	70.7505607002686	0.4078695529223646	55.99390498434572	999.624528449329	1000.0490717366338	381616.0	900.9221320152283	1095.9388130307198	59.1804255321195	0.15869858860969543	0.4381933808326721	0.48470786213874817	0.4661621473318396
sub-004_T1w	0.6497193709410817	2.062872970669637	0.5502623412518127	2393.0873380267317	3.6370545657529507	3.650313805453946	3.5656499468676754	3.69519994493723	0.1890012072528034	0.4383677477770297	0.3726310449701669	1.5251100063323975	0.51757310628891	0.0	0.02009489638048196	30.183947360409384	14.130785077076169	18.698764917622892	224	320	320	3.2392010533463824	11.72859927379436	10.570722594812866	16.744367457297855	33.185396150628264	71.27569106652913	64.13486547672683	87.94350921302312	0.7999997138977051	0.800000011920929	0.800000011920929	5.847565907733474	7.449513527266541	10.098127711987404	5.024620518088341	5511071.0	0.0	29.94673828780651	9.976662157528425	0.7460057830269853	102.35631586464227	401.6271802673747	377.3490009084344	56402.0	252.68816585466266	629.079976554401	116.49343449361912	0.3025564527809279	66.22617525739955	808.8871600652388	810.4712895676494	57467.0	693.3473852910101	920.2090016826987	69.10153710548987	0.45422455030766606	56.914283348316374	1002.080040250867	999.9999755099416	436775.0	907.6976965926588	1103.4066657721996	59.72150535428626	0.15599676966667175	0.43986180424690247	0.499921053647995	0.46160269047895164
sub-005_T1w	0.6226929317723529	2.126654151795339	0.5875172390375459	2316.8386826385427	3.5691133032861835	3.602327515731485	3.4990999478593476	3.605912446267717	0.17566257575249636	0.45201650906865753	0.37232091517884613	1.5428781509399414	0.5411865949630736	0.0	0.030899647306462424	29.682251237759072	12.683595439157019	16.77162178386576	224	320	320	3.451502701659256	12.785964418476041	10.80224612360201	16.169271250670736	29.571488228008214	68.43117902865774	60.82097573919572	84.4602599609212	0.8000022172927856	0.800000011920929	0.800000011920929	4.6269575787001775	7.7567410918692765	11.357770808377145	10.463684722781181	5481081.0	0.0	31.69880960136652	11.111368764068706	2.9780777870691066	79.84880535747786	371.41294221389774	350.1230976358056	68188.0	245.3836652636528	574.784563742578	101.44002788161428	0.6888070741794494	59.772534296169134	810.3258206180674	810.2174700051546	89579.0	707.5810330919921	912.7513217739761	63.36737074435937	0.44203756786156045	58.40369763289809	1000.4550904804292	999.9999870359898	465236.0	899.3126678653061	1102.8415942378342	61.845638978353946	0.1682935208082199	0.43876251578330994	0.4972366392612457	0.5598437858947852
sub-006_T1w	0.6816461087448833	1.9450371825215336	0.5973643569372381	3176.52351518409	3.6898427229654973	3.7283907782879626	3.582537446616032	3.758599943992497	0.16458545919817183	0.44631534601423856	0.3890991947875896	1.5703997611999512	0.5858859241008756	0.0	0.03949423988109421	27.87043897425859	11.798196972203192	15.200478353246913	224	320	320	3.229590171984164	11.144961819196634	10.081648346213171	15.870393047458716	39.671253276679444	79.47889012485462	72.35603079753736	97.917948991078	0.7999966144561768	0.800000011920929	0.800000011920929	4.277964287837672	6.691039678909278	10.847673412605882	9.02607536315918	4417863.0	0.0	31.479830741882324	9.946695401654491	4.780910709608911	117.71273509192248	426.3182494661731	405.17049407958984	41928.0	258.5246276855469	654.1675977706909	125.45420339219393	0.3645320511525001	68.7277162080558	813.5394294371966	811.7339010238647	95273.0	697.3478965759277	939.9376010894775	72.83377495047561	0.42954746924435305	59.64111911324073	1001.6909743872784	1000.0557203292847	558031.0	900.6017417907715	1107.9228925704956	63.013866214959556	0.15510940551757812	0.4494078457355499	0.4876532554626465	0.5968436914454728
sub-007_T1w	0.6131260511467017	2.1412246124907144	0.6144388627620609	2450.0844509569247	3.605950035979293	3.612287715309126	3.5272749474395075	3.6782874451892456	0.1599925584459823	0.4223930872176274	0.41761435433639027	1.4478555917739868	0.4832451224327088	0.0	0.02390131238851121	28.849181859735445	12.40433656404284	14.540541679489914	224	320	320	2.885086933502784	10.809495391764441	10.572521625647092	18.022982551674048	35.00499065288219	69.04746437742617	63.42694885952391	86.22839154826336	0.7999999523162842	0.800000011920929	0.800000011920929	5.0712072800131835	7.597687574027867	9.352536918631987	5.12456239387393	5295271.0	0.0	30.341468431055546	9.639776974307923	41.13033953941111	118.10266822993813	428.4268029412619	405.95667042955756	44044.0	259.5261053927243	657.8213013522327	140.7070466937665	0.5680972472135468	69.28188371960064	802.6044808993737	800.7509277239442	64253.0	685.2503947198392	929.7478329733012	74.07789794480092	0.6154124611977436	52.882914500411786	1000.7030908322653	1000.0000021867454	622170.0	911.1573412790895	1091.7854811027646	55.48466773911735	0.15329211950302124	0.43186190724372864	0.5165423154830933	0.524019434051297
sub-008_T1w	0.6774663531430011	2.0006203985171385	0.5846090536589347	3830.1245440000002	3.634784402492579	3.6748533152056813	3.4959374479064724	3.7335624443655844	0.16964052389455123	0.43986108805336477	0.390498388052084	1.5380682945251465	0.5564577579498291	0.0	0.021776236874254996	34.65184400060133	14.825739834284441	18.598583580729454	224	320	320	3.237819138844394	10.681189061623785	10.081785617549597	16.32634865218061	29.470045806627162	60.64752664289518	55.16759109745366	75.38520084283864	0.8000047206878662	0.800000011920929	0.800000011920929	15.41779840693031	8.690924354306455	10.683752126066368	5.861939396709204	6234402.0	0.0	34.89026328921318	11.153014938037078	3.120490209243594	110.09662972035417	414.14567977882433	390.9444622453302	58308.0	258.11291551589966	643.8754233345389	120.7421085175406	0.4298884145381927	73.83809331418765	807.4035887244842	804.5394583195448	73984.0	690.3957743868232	935.2841546237469	75.3225147880512	0.4420266994037729	58.611593845442734	1001.1064565912661	1000.0468610785902	456128.0	902.4572940021753	1102.8887258544564	61.25348577004225	0.16277138888835907	0.439579039812088	0.5029181838035583	0.5416148121809362
sub-009_T1w	0.6943443411692902	1.9648557728827354	0.5338694140529929	4802.426129244622	3.7111430911924512	3.7241043839848986	3.6464624456634755	3.76286244392898	0.17561047349105663	0.4317515593454789	0.39263796716346444	1.6603314876556396	0.6048286557197571	0.0	0.021503857620638812	32.64265059999628	14.372245993408331	17.776964180930623	224	320	320	3.4482222777337124	10.903905465325634	10.195279371440117	16.233710371261004	31.619167215571238	66.86750126864399	60.371551758302125	82.62798679069114	0.7999990582466125	0.800000011920929	0.800000011920929	21.48469607318562	7.929139133727565	10.013387051390364	5.348123073577881	6603854.0	0.0	32.0392187833786	11.002293101338822	2.7902745578068764	96.9117005233369	403.43104952777367	382.6879177093506	58055.0	259.6810870170593	616.6187825202942	110.98026489125509	0.15097128151487693	74.0787165363992	810.6609178283402	809.299772143364	56629.0	691.8391431570053	933.5445942878723	74.22043680177526	0.6229124967544766	58.367274178827905	1001.6220539882643	1000.049495100975	452042.0	903.337602853775	1104.3354190528369	61.60319274416273	0.16459791362285614	0.4299318790435791	0.4984532296657562	0.6237067234936224
sub-010_T1w	0.6323455842129228	2.085875900654391	0.5953487778414062	2119.1845883071323	3.7099707887287305	3.737824976336877	3.5872374465459966	3.804849943303318	0.1796775449129129	0.4229838257909295	0.3973386292961576	1.5032892227172852	0.582304310798645	0.0008073389461679324	0.005929347735520301	28.22671858203669	12.821095782169946	15.516686799717501	224	320	320	3.6214704485508524	11.402348479223095	10.367216394066256	16.077830254424825	34.07508383415917	66.00908619745542	60.94337854724352	82.74596561011596	0.7999973297119141	0.800000011920929	0.800000011920929	112.52333155497814	7.917878053464366	15.586057946699572	10.57094120979309	5746212.0	0.0	48.06474831327796	25.30251311112684	1.2658247938969573	110.36052709570951	425.54401431892563	411.82625129818916	55207.0	263.1723905354738	628.3488580469041	113.71693550856689	0.18042888445244465	69.05695704361705	798.6417160212987	797.7757194265723	52860.0	685.2942981161177	914.606642588973	69.96525099415852	0.5488333906075114	58.85350594379183	1001.5729648803933	1000.0550840348005	515988.0	902.1087068878114	1105.7644961327314	62.20081311599511	0.14628419280052185	0.4285236597061157	0.4934559762477875	0.6109653548604104
