bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-001_task-vni_run-01_bold	0.00018529595015576324	0.011125753495327103	3	32.21882403937663	1.3227083162094766	0.9937659486783053	0.38606960765281656	16504.828125	0.08829889421751089	20	1.2461059190031152	1.7336404211360439	1.643623883608725	1.847374046466074	1.7099233333333332	0.0100097	-0.027313077822327614	0.017700660973787308	1605	82	82	56	8.070980168318046	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	39.066813884200556	16.753864875785833	89.4501953125	21.82678985595703	288515.0	8.47538948059082	401.97400512695305	210.13804626464844	3.627551429578478	313.0035344790276	2831.934326171875	2821.2421875	36353.0	2328.913037109375	3385.421484375	349.5490417480469	60.97799622151069
sub-001_task-vni_run-02_bold	0.00013710723192019952	0.011019366390274316	4	31.78473407273237	1.308677980617589	0.9944862974922043	0.3869271053036418	16268.2978515625	0.09200911874043519	26	1.6209476309226933	1.7347599104006566	1.6475122707354042	1.850234127133232	1.7065333333333335	0.0123941	-0.027543891221284866	0.01787615194916725	1604	82	82	56	8.117417196264407	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	38.99921103403823	17.000011321074687	90.08245849609375	21.98192024230957	288448.0	8.211346626281738	407.19010314941397	209.7130126953125	3.4349686396704735	310.6819010245611	2833.04150390625	2822.685302734375	36403.0	2328.1632080078125	3383.90234375	347.7271728515625	61.06134838121943
sub-001_task-vni_run-03_bold	0.0002806413449564134	0.011164129775840598	2	31.750457726928325	1.3166590924984432	1.0030000016884728	0.38692952244855033	16245.71875	0.09236596924134013	30	1.86799501867995	1.753598100474789	1.66737412572687	1.8732701756974972	1.72015	0.0118826	-0.0272605549544096	0.01802738755941391	1606	82	82	56	8.078231085510843	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	39.694776160090775	16.926218854163555	89.53704833984375	22.03362274169922	288247.0	8.42901611328125	403.99412536621116	207.6480255126953	3.5236779450893465	312.5400403040285	2837.5693359375	2828.218505859375	36376.0	2326.7723999023438	3389.0018310546875	350.098876953125	60.213675329461694
sub-002_task-vni_run-01_bold	0.00011372194513715711	0.010279225592269327	4	31.453151314978143	1.3002054624017476	0.9874967133187773	0.3811753230595333	19311.84375	0.0816886385224782	9	0.5610972568578554	1.795207607826604	1.6682800934757733	1.9438860633373725	1.7734566666666665	0.00862855	-0.0322994664311409	0.02224968560039997	1604	82	82	56	7.900779344648979	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	39.66528343013463	17.849459610110305	99.97528839111328	24.315462112426758	288514.0	9.756857872009277	464.7309997558592	242.95849609375	2.6417633521486366	371.500444765329	3436.525390625	3409.93701171875	36718.0	2831.6186035156247	4173.743310546876	431.5891418457031	65.43886192236096
sub-002_task-vni_run-02_bold	0.0001345635910224439	0.010087762923940152	4	31.348396852295675	1.2962928602557713	0.991085487554587	0.38238349265632143	19111.40234375	0.08066882731417163	13	0.8104738154613467	1.7978539967210114	1.6724329967335192	1.9418856600961814	1.7792433333333333	0.0096513	-0.03276776149868965	0.022232675924897194	1604	82	82	56	7.949654420740169	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	39.701700169692465	18.05650622815779	101.74053955078125	24.450748443603516	288418.0	9.73192024230957	478.83237457275317	246.5736541748047	2.4249636990404246	372.15016912622195	3436.99560546875	3412.09521484375	36746.0	2831.582763671875	4170.238037109375	429.2071838378906	66.38268153183162
sub-002_task-vni_run-03_bold	0.0002595511221945137	0.01050843877182045	4	31.53626756437929	1.303404944235807	0.9929328808359336	0.38342965156616243	18984.19921875	0.08170709414177477	13	0.8104738154613467	1.8048127154033111	1.6901853355797287	1.941416143963538	1.7828366666666666	0.0100981	-0.03310022130608559	0.022047610953450203	1604	82	82	56	7.854557138436444	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	38.4845341834424	18.087933420379166	103.25907897949219	24.562969207763672	288291.0	9.836970329284668	487.32794189453125	249.4683074951172	2.6878978381348926	374.0021550273411	3438.8779296875	3412.10009765625	36890.0	2827.2551391601564	4179.867749023437	434.40435791015625	64.65571079123765
sub-003_task-vni_run-01_bold	0.00011372194513715711	0.010279225592269327	4	31.453151314978143	1.3002054624017476	0.9874967133187773	0.3811753230595333	19311.84375	0.0816886385224782	9	0.5610972568578554	1.795207607826604	1.6682800934757733	1.9438860633373725	1.7734566666666665	0.00862855	-0.0322994664311409	0.02224968560039997	1604	82	82	56	7.900779344648979	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	39.66528343013463	17.849459610110305	99.97528839111328	24.315462112426758	288514.0	9.756857872009277	464.7309997558592	242.95849609375	2.6417633521486366	371.500444765329	3436.525390625	3409.93701171875	36718.0	2831.6186035156247	4173.743310546876	431.5891418457031	65.43886192236096
sub-003_task-vni_run-02_bold	0.0001345635910224439	0.010087762923940152	4	31.348396852295675	1.2962928602557713	0.991085487554587	0.38238349265632143	19111.40234375	0.08066882731417163	13	0.8104738154613467	1.7978539967210114	1.6724329967335192	1.9418856600961814	1.7792433333333333	0.0096513	-0.03276776149868965	0.022232675924897194	1604	82	82	56	7.949654420740169	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	39.701700169692465	18.05650622815779	101.74053955078125	24.450748443603516	288418.0	9.73192024230957	478.83237457275317	246.5736541748047	2.4249636990404246	372.15016912622195	3436.99560546875	3412.09521484375	36746.0	2831.582763671875	4170.238037109375	429.2071838378906	66.38268153183162
sub-003_task-vni_run-03_bold	0.0002595511221945137	0.01050843877182045	4	31.53626756437929	1.303404944235807	0.9929328808359336	0.38342965156616243	18984.19921875	0.08170709414177477	13	0.8104738154613467	1.8048127154033111	1.6901853355797287	1.941416143963538	1.7828366666666666	0.0100981	-0.03310022130608559	0.022047610953450203	1604	82	82	56	7.854557138436444	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	38.4845341834424	18.087933420379166	103.25907897949219	24.562969207763672	288291.0	9.836970329284668	487.32794189453125	249.4683074951172	2.6878978381348926	374.0021550273411	3438.8779296875	3412.10009765625	36890.0	2827.2551391601564	4179.867749023437	434.40435791015625	64.65571079123765
sub-004_task-vni_run-01_bold	0.00014358878504672898	0.010866975221183801	3	29.177666736564817	1.3148336562780572	0.9850034045448874	0.38681991422365897	19242.857421875	0.08310177083315032	21	1.308411214953271	1.7685728945820272	1.6893653355734222	1.9294600148393264	1.6868933333333331	0.0110858	-0.022572260349988937	0.01897979900240898	1605	82	82	56	7.5401880884139025	0.46000000834465027	3.02439022064209	3.02439022064209	3.0	37.400000689351295	21.278807918203135	112.5477294921875	25.562305450439453	287786.0	8.532087326049805	536.5299072265625	274.1341857910156	4.475508778164523	381.8381203904559	3562.88525390625	3548.1064453125	37121.0	2908.008544921875	4322.55810546875	470.5530700683594	63.48091308725998
